id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif,id_labels
0.38.48,22,7,14,252.85764,1421.4849,1271.4869,16,9.7857141,1,0,1,0,0,0.Food processing workers.Occupations not requiring qualifications
0.38.48.15,8,3,4,130.6485,9352.6484,5931.2017,1,1,0,0,1,0,0,"0.Food processing workers.Occupations not requiring qualifications.Managing directors, managers"
0.39,62,18,43,,1754.8804,1143.4132,10.055555,14.83721,1,,,0,1,0.Light industry occupations
0.39.15,10,2,8,1551.4154,5335.8813,8907.5938,1,1,1,1,1,1,0,"0.Light industry occupations.Managing directors, managers"
0.39.34,10,4,6,490.14215,1281.0004,925.28284,19.75,46.333332,1,1,1,0,1,0.Light industry occupations.Commercial and catering occupations
0.39.34.15,7,3,4,89.492882,11865.454,6753.0571,1,1,0,0,1,0,0,"0.Light industry occupations.Commercial and catering occupations.Managing directors, managers"
0.39.44,8,1,7,692.62347,3466.3062,687.62366,1,26,1,1,1,0,1,0.Light industry occupations.Manufacturing machine operators
0.39.44.15,5,1,4,1683.7014,7790.3223,10069.167,1,1,1,1,1,1,0,"0.Light industry occupations.Manufacturing machine operators.Managing directors, managers"
0.39.48,11,4,7,724.44293,994.5542,665.62665,12.75,19.857143,1,1,1,0,1,0.Light industry occupations.Occupations not requiring qualifications
0.39.48.15,3,1,2,261.79712,10208.226,9095.6338,1,1,1,0,1,0,0,"0.Light industry occupations.Occupations not requiring qualifications.Managing directors, managers"
0.40,161,24,131,,2618.4644,1412.6431,4.625,15.328244,1,,,0,1,0.Metal and electrical industry occupations
0.40.15,28,1,23,331.39801,3257.4546,11665.802,1,1,1,0,1,1,0,"0.Metal and electrical industry occupations.Managing directors, managers"
0.40.17,6,0,5,3853.4434,,1660.7535,,25.799999,1,1,1,,,"0.Metal and electrical industry occupations.Technical, information technology, science related professionals"
0.40.17.15,3,0,3,222.49266,,18222.512,,1,1,0,1,,,"0.Metal and electrical industry occupations.Technical, information technology, science related professionals.Managing directors, managers"
0.40.24,12,1,11,3232.1516,2033.6968,1884.1195,2,27.09091,1,1,1,0,1,0.Metal and electrical industry occupations.Technicians and technical professionals
0.40.24.15,4,0,4,132.7861,,19655.465,,1,1,0,1,,,"0.Metal and electrical industry occupations.Technicians and technical professionals.Managing directors, managers"
0.40.34,24,11,13,1328.493,355.13504,1113.7635,25.09091,24.153847,0,1,1,1,0,0.Metal and electrical industry occupations.Commercial and catering occupations
0.40.34.15,12,4,8,64.071213,12038.092,7555.7109,1,1,1,0,1,0,0,"0.Metal and electrical industry occupations.Commercial and catering occupations.Managing directors, managers"
