id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,gender_dom,relevant_wagedif_norm,wage_sign,wagegap
0.48.44.45,70,37,33,140.19461,862.63513,1308.0334,0,0,1,1
0.48.44.48,253,66,187,-59.926201,974.04926,1094.7598,1,0,0,1
0.48.45,626,279,347,361.95709,1120.6665,1475.7659,0,0,1,1
0.48.45.44,72,28,44,480.58942,1441.2855,987.75244,1,1,1,0
0.48.45.48,269,111,158,-4.8060927,961.80945,964.91467,0,0,0,1
0.48.46,98,34,64,391.10709,963.63068,1141.0435,1,0,1,1
0.48.47,356,3,353,-115.9604,1393.5759,1092.8789,1,0,0,0
0.48.47.48,120,3,117,108.01267,593.04712,954.50665,1,0,1,1
11,204,,,,,,,,,0
12,726,,,,,,,,,0
12.35,305,,,,,,,,,0
13,381,,,,,,,,,0
13.12,63,,,,,,,,,0
13.48,63,,,,,,,,,0
14,347,,,,,,,,,0
15,6261,,,,,,,,,0
15.17,242,,,,,,,,,0
15.20,75,,,,,,,,,0
15.21,290,,,,,,,,,0
15.21.15,62,,,,,,,,,0
15.23,164,,,,,,,,,0
15.24,255,,,,,,,,,0
15.24.15,58,,,,,,,,,0
15.29,548,,,,,,,,,0
15.29.15,105,,,,,,,,,0
15.31,147,,,,,,,,,0
15.32,305,,,,,,,,,0
15.32.15,59,,,,,,,,,0
15.33,155,,,,,,,,,0
15.34,790,,,,,,,,,0
15.34.15,185,,,,,,,,,0
15.34.15.34,73,,,,,,,,,0
15.34.29,65,,,,,,,,,0
15.34.48,102,,,,,,,,,0
15.35,146,,,,,,,,,0
15.40,62,,,,,,,,,0
15.42,91,,,,,,,,,0
15.44,56,,,,,,,,,0
15.47,111,,,,,,,,,0
15.48,429,,,,,,,,,0
15.48.15,75,,,,,,,,,0
17,4461,,,,,,,,,0
17.15,357,,,,,,,,,0
17.15.17,75,,,,,,,,,0
17.20,73,,,,,,,,,0
17.21,177,,,,,,,,,0
17.23,334,,,,,,,,,0
17.23.17,107,,,,,,,,,0
17.24,631,,,,,,,,,0
17.24.17,248,,,,,,,,,0
17.29,188,,,,,,,,,0
17.31,84,,,,,,,,,0
17.32,113,,,,,,,,,0
17.33,61,,,,,,,,,0
17.34,62,,,,,,,,,0
17.48,72,,,,,,,,,0
18,874,,,,,,,,,0
19,256,,,,,,,,,0
20,2567,,,,,,,,,0
20.15,92,,,,,,,,,0
20.17,79,,,,,,,,,0
20.23,62,,,,,,,,,0
20.27,95,,,,,,,,,0
20.29,92,,,,,,,,,0
20.31,67,,,,,,,,,0
20.32,137,,,,,,,,,0
20.34,91,,,,,,,,,0
20.48,76,,,,,,,,,0
21,4728,,,,,,,,,0
21.15,443,,,,,,,,,0
21.15.21,70,,,,,,,,,0
21.17,167,,,,,,,,,0
21.20,61,,,,,,,,,0
21.23,413,,,,,,,,,0
21.23.21,100,,,,,,,,,0
21.24,118,,,,,,,,,0
21.29,1159,,,,,,,,,0
21.29.15,81,,,,,,,,,0
21.29.21,254,,,,,,,,,0
21.29.23,93,,,,,,,,,0
21.29.32,83,,,,,,,,,0
21.31,157,,,,,,,,,0
21.32,330,,,,,,,,,0
21.32.29,77,,,,,,,,,0
21.33,119,,,,,,,,,0
21.34,193,,,,,,,,,0
21.48,94,,,,,,,,,0
22,1026,,,,,,,,,0
22.21,59,,,,,,,,,0
22.29,75,,,,,,,,,0
22.30,87,,,,,,,,,0
23,3136,,,,,,,,,0
23.14,136,,,,,,,,,0
23.15,181,,,,,,,,,0
23.17,250,,,,,,,,,0
23.21,358,,,,,,,,,0
23.21.23,64,,,,,,,,,0
23.24,80,,,,,,,,,0
23.29,354,,,,,,,,,0
23.29.23,59,,,,,,,,,0
23.31,129,,,,,,,,,0
23.32,139,,,,,,,,,0
23.33,58,,,,,,,,,0
24,6281,,,,,,,,,0
24.15,370,,,,,,,,,0
24.15.24,69,,,,,,,,,0
24.17,1349,,,,,,,,,0
24.17.15,88,,,,,,,,,0
24.17.23,61,,,,,,,,,0
24.17.24,245,,,,,,,,,0
24.17.24.17,95,,,,,,,,,0
24.20,62,,,,,,,,,0
24.21,132,,,,,,,,,0
24.23,126,,,,,,,,,0
24.29,379,,,,,,,,,0
24.31,189,,,,,,,,,0
24.32,286,,,,,,,,,0
24.33,178,,,,,,,,,0
24.34,253,,,,,,,,,0
24.35,139,,,,,,,,,0
24.40,319,,,,,,,,,0
24.40.24,59,,,,,,,,,0
24.42,92,,,,,,,,,0
24.43,80,,,,,,,,,0
24.44,221,,,,,,,,,0
24.45,158,,,,,,,,,0
24.46,59,,,,,,,,,0
24.47,92,,,,,,,,,0
24.48,482,,,,,,,,,0
24.48.24,71,,,,,,,,,0
26,1814,,,,,,,,,0
26.18,104,,,,,,,,,0
26.21,65,,,,,,,,,0
26.28,65,,,,,,,,,0
26.29,147,,,,,,,,,0
26.31,65,,,,,,,,,0
26.32,202,,,,,,,,,0
26.33,63,,,,,,,,,0
26.34,99,,,,,,,,,0
26.35,84,,,,,,,,,0
26.48,93,,,,,,,,,0
27,700,,,,,,,,,0
27.20,145,,,,,,,,,0
27.32,61,,,,,,,,,0
27.48,85,,,,,,,,,0
28,1291,,,,,,,,,0
28.19,60,,,,,,,,,0
28.20,79,,,,,,,,,0
28.23,56,,,,,,,,,0
28.26,77,,,,,,,,,0
28.29,82,,,,,,,,,0
28.32,73,,,,,,,,,0
28.34,59,,,,,,,,,0
28.35,80,,,,,,,,,0
28.48,168,,,,,,,,,0
29,11877,,,,,,,,,0
29.15,839,,,,,,,,,0
29.15.29,139,,,,,,,,,0
29.17,239,,,,,,,,,0
29.20,124,,,,,,,,,0
29.21,1417,,,,,,,,,0
29.21.15,113,,,,,,,,,0
29.21.23,117,,,,,,,,,0
29.21.29,350,,,,,,,,,0
29.21.29.21,82,,,,,,,,,0
29.21.32,89,,,,,,,,,0
29.22,75,,,,,,,,,0
29.23,571,,,,,,,,,0
29.23.21,65,,,,,,,,,0
29.23.29,87,,,,,,,,,0
29.24,386,,,,,,,,,0
29.24.17,59,,,,,,,,,0
29.26,103,,,,,,,,,0
29.28,91,,,,,,,,,0
29.31,709,,,,,,,,,0
29.31.29,171,,,,,,,,,0
29.31.32,86,,,,,,,,,0
29.32,1551,,,,,,,,,0
29.32.15,76,,,,,,,,,0
29.32.21,88,,,,,,,,,0
29.32.29,381,,,,,,,,,0
29.32.29.32,70,,,,,,,,,0
29.32.31,101,,,,,,,,,0
29.32.33,93,,,,,,,,,0
29.32.34,69,,,,,,,,,0
29.33,1098,,,,,,,,,0
29.33.15,60,,,,,,,,,0
29.33.29,230,,,,,,,,,0
29.33.32,106,,,,,,,,,0
29.33.34,110,,,,,,,,,0
29.34,1072,,,,,,,,,0
29.34.15,89,,,,,,,,,0
29.34.29,178,,,,,,,,,0
29.34.32,90,,,,,,,,,0
29.34.33,91,,,,,,,,,0
29.34.48,124,,,,,,,,,0
29.35,263,,,,,,,,,0
29.40,87,,,,,,,,,0
29.44,63,,,,,,,,,0
29.45,65,,,,,,,,,0
29.47,172,,,,,,,,,0
29.48,676,,,,,,,,,0
29.48.29,84,,,,,,,,,0
29.48.34,91,,,,,,,,,0
