id,value,nok,ffiak,wage_dif,gender_dom,relevant_wagedif_norm,wage_sign,id_labels
0.48.43.48,74,2,72,123.6909,1,0,1,0.Occupations not requiring qualifications.Other industry and construction industry occupations.Occupations not requiring qualifications
0.48.44,630,186,444,481.47653,1,1,1,0.Occupations not requiring qualifications.Manufacturing machine operators
0.48.44.45,70,37,33,140.19461,0,0,1,0.Occupations not requiring qualifications.Manufacturing machine operators.Assemblers
0.48.44.48,253,66,187,-59.926201,1,0,0,0.Occupations not requiring qualifications.Manufacturing machine operators.Occupations not requiring qualifications
0.48.45,626,279,347,361.95709,0,0,1,0.Occupations not requiring qualifications.Assemblers
0.48.45.44,72,28,44,480.58942,1,1,1,0.Occupations not requiring qualifications.Assemblers.Manufacturing machine operators
0.48.45.48,269,111,158,-4.8060927,0,0,0,0.Occupations not requiring qualifications.Assemblers.Occupations not requiring qualifications
0.48.46,98,34,64,391.10709,1,0,1,0.Occupations not requiring qualifications.Stationary machine operators
0.48.47,356,3,353,-115.9604,1,0,0,0.Occupations not requiring qualifications.Drivers and mobile machinery operators
0.48.47.48,120,3,117,108.01267,1,0,1,0.Occupations not requiring qualifications.Drivers and mobile machinery operators.Occupations not requiring qualifications
