id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0.45,138,56,80,,1406.431,1532.5277,12.464286,16.075001,0,,,1,1
0.45.15,24,9,15,268.75717,9744.4072,9586.249,1,1,1,0,1,0,0
0.45.33,5,5,0,371.63736,1900.5201,,6.5999999,,2,0,1,,
0.45.34,23,12,11,550.43475,621.69702,2320.9314,33.25,18.90909,0,1,1,1,0
0.45.34.15,12,6,6,448.59665,7111.6348,9479.5674,1,1,0,0,1,1,0
0.45.34.48,5,3,2,-1325.2329,1235.3973,1061.0059,17.666666,7.5,0,0,0,0,0
0.45.40,7,2,5,873.39246,204.63873,638.5202,24,38.799999,1,1,1,1,1
0.45.44,15,7,8,273.31937,868.83624,983.88226,25,24,0,0,1,1,0
0.45.48,42,13,29,168.70125,3122.9951,1719.0842,7.6153846,13.75862,1,0,1,0,1
0.45.48.15,13,2,11,296.35995,6711.21,8345.4561,1,1,1,0,1,1,0
0.45.48.34,5,2,3,-1986.6064,1261.8876,397.25955,5.5,26.666666,1,0,0,0,1
0.46,29,12,17,,1788.3566,1947.9868,6.0833335,16.058823,0,,,1,1
0.46.15,6,3,3,695.87689,7147.8447,12473.354,1,1,0,1,1,1,0
0.46.34,5,4,1,4293.6396,4877.1851,306.35815,8,13,2,1,1,0,1
0.46.48,7,2,5,76.982521,1963.9263,1474.438,26.5,3.2,1,0,1,0,0
0.47,35,1,32,,5940.8457,1748.6517,1,15.09375,1,,,0,1
0.47.15,10,0,10,112.62169,,10002.864,,1,1,0,1,,
0.47.48,7,0,6,398.74802,,1236.5236,,10.166667,1,0,1,,
0.48,1113,349,751,,2090.4668,1798.6208,6.0458455,9.3741674,1,,,0,1
0.48.14,30,9,21,865.82544,6652.1255,5518.7212,1,1,1,1,1,0,0
0.48.15,272,80,187,801.4317,7501.2983,7611.0464,1,1,1,1,1,1,0
0.48.17,15,0,13,3660.22,,1862.7767,,20.23077,1,1,1,,
0.48.17.15,6,0,5,100.49227,,18913.301,,1,1,0,1,,
0.48.21,7,2,5,922.38458,467.53641,1014.0974,21.5,14.2,1,1,1,1,0
0.48.23,5,2,3,1848.8953,498.43713,518.59454,19,22.333334,1,1,1,1,1
0.48.24,40,4,36,1729.4857,1958.8851,1634.9926,22.5,15.972222,1,1,1,0,0
0.48.24.15,20,1,19,511.00793,7741.9355,10590.07,1,1,1,1,1,1,0
0.48.24.17,5,0,5,1196.7596,,1150.2079,,20.4,1,1,1,,
0.48.24.48,6,0,6,583.30084,,2768.3586,,2.8333333,1,1,1,,
0.48.26,5,0,5,2592.8181,,556.66028,,22.6,1,1,1,,
0.48.28,5,4,0,715.12793,1681.3813,,13.25,,2,1,1,,
0.48.29,59,19,40,1634.0729,1207.812,1460.4019,15.263158,22,1,1,1,1,1
0.48.29.15,27,10,17,595.80957,10574.132,10204.706,1,1,1,1,1,0,0
0.48.29.32,7,3,4,211.83406,2072.9592,2697.2043,7,12,0,0,1,1,1
0.48.29.34,6,2,4,385.21884,1397.6566,2353.6907,4,7.25,1,0,1,1,1
0.48.29.48,5,1,4,291.46582,953.75134,1862.9188,4,5,1,0,1,1,1
0.48.31,19,5,14,1078.0355,462.41385,1086.808,24.6,13,1,1,1,1,0
0.48.32,36,12,23,1578.7028,3116.4417,1816.7161,9.333333,12.782609,1,1,1,0,1
0.48.32.15,10,3,6,290.7197,9021.3818,11734.379,1,1,1,0,1,1,0
0.48.33,42,27,15,1264.8986,1649.7135,1254.8704,19.333334,10.666667,2,1,1,0,0
0.48.33.15,14,10,4,318.51724,11249.177,13823.277,1,1,2,0,1,1,0
0.48.33.29,8,6,2,1148.7311,1492.3783,953.7392,10.166667,8,2,1,1,0,0
0.48.33.34,12,9,3,43.241016,1574.2733,1000.949,22.555555,39.333332,2,0,1,0,1
0.48.33.34.15,8,5,3,344.59067,11312.601,8953.8115,1,1,2,0,1,0,0
0.48.34,279,136,143,842.95892,1384.7275,1295.4619,19.007353,18.097902,0,1,1,0,0
0.48.34.15,141,60,81,277.56216,9216.1611,8652.7207,1,1,0,0,1,0,0
0.48.34.29,15,9,6,352.03867,626.13214,438.73462,13,24,0,0,1,0,1
0.48.34.31,5,5,0,1233.25,1783.8025,,11.6,,2,1,1,,
0.48.34.32,6,5,1,333.26727,1327.3851,229.81895,21.200001,22,2,0,1,0,1
0.48.34.33,14,9,5,287.67303,520.82367,3795.0383,15.111111,4.1999998,2,0,1,1,0
0.48.34.33.34,7,5,2,-1004.3554,354.97211,1723.9275,23.799999,4,2,0,0,1,0
0.48.34.33.34.15,6,5,1,162.12364,9849.3945,5400,1,1,2,0,1,0,0
0.48.34.48,56,30,26,83.373291,1455.2268,2819.2659,9.7666664,10.576923,0,0,1,1,1
0.48.34.48.15,17,10,7,473.73111,9040.9297,6956.1011,1,1,0,1,1,0,0
0.48.34.48.34,28,15,13,-875.58545,770.15405,1379.0731,13.933333,18.76923,0,0,0,1,1
0.48.34.48.34.15,17,9,8,127.45807,9056.2881,8534.4346,1,1,0,0,1,0,0
0.48.34.48.34.48,8,3,5,-48.663067,2869.469,1784.4961,3,6.1999998,1,0,0,0,1
0.48.34.48.34.48.34,6,3,3,183.96846,1913.7183,863.90747,16.333334,15.333333,0,0,1,0,0
0.48.34.50,7,2,5,1993.5989,669.57245,2459.5132,8,7.8000002,1,1,1,1,0
0.48.35,33,7,25,818.60498,1631.9055,1175.0083,4.2857141,14.64,1,1,1,0,1
0.48.35.15,11,2,9,383.08566,7909.4839,6849.4712,1,1,1,0,1,0,0
